,value,count
778,bone,2
779,bodkin - hairpin,2
780,medicine man,2
781,obstetrical  hooks,2
782,blood transfusion apparatus,2
783,bronchitis kettle,2
784,clamps,2
785,tongue écraseur,2
786,drain cover,2
787,divination object,2
788,genetic diseases,2
789,gauges,2
790,Humours,2
791,prayer board,2
792,garter,2
793,Finsen lamp,2
794,"diseases of the ear, nose and throat",2
795,pilgrim flask,2
796,funerary object,2
797,fundraising,2
798,fumigator,2
799,pillow,2
800,frieze - decorative element,2
801,slate - writing,2
802,goblet,2
803,Ophthalmology,2
804,haemodialyser,2
805,tap - water,2
806,dagger - weapon,2
807,defibrillator,2
808,Measurement,2
809,haemorrhoids,2
810,dental instrument,2
811,dental pelican,2
812,goggles,2
813,guild,2
814,dental unit,2
815,grave goods,2
816,photograph album,2
817,gourd,2
818,dip pen,2
819,solar eclipse,2
820,Defining Ourselves,2
821,song,2
822,pneumothorax apparatus,2
823,ether,2
824,ethnography; customs and beliefs,2
825,fetish figure,2
826,fertility rites,2
827,x-ray photograph,2
828,femur,2
829,porringer,2
830,ear,2
831,feeding,2
832,feather - material,2
833,fan - costume accessory,2
834,spittoon,2
835,yatate,2
836,face mask,2
837,stand - support furniture,2
838,field medical pannier,2
839,plaster cast,2
840,spindle whorl,2
841,plaster case,2
842,engraving machine,2
843,writing machine,2
844,Biology & Biotechnology,2
845,embroidery,2
846,fleam,2
847,wound tag,2
848,stenosis,2
849,stereoscope,2
850,stereoscope picture,2
851,spanner,2
852,stereotaxic apparatus,2
853,postage stamp,2
854,"Obstetrics, Gynaecology & Contraception",2
855,vaporiser,2
856,cryosurgical equipment,2
857,commemorative,2
858,composing machine,2
859,hypodermic needle,2
860,sheet music,2
861,hyperbaric bed,2
862,printing cylinder,2
863,hydraulic dental chair,2
864,paralysis,2
865,human remains,2
866,shell - animal material,2
867,warts,2
868,hospital,2
869,shooting spectacles,2
870,corbel,2
871,cornea,2
872,holders,2
873,Visualising the body,2
874,hysterectomy,2
875,pen - drawing and writing,2
876,Voltaic pile,2
877,serrenoeud,2
878,circumcision tweezers,2
879,negative - photographic,2
880,oxygen injection apparatus,2
881,clitoridectomy knife,2
882,oxygen tent,2
883,acetabulum,2
884,infusion,2
885,Yasargil clip,2
886,World War One,2
887,Women in medicine,2
888,Women and psychiatry,2
889,colour lithograph,2
890,idol,2
891,shears,2
892,short-sightedness,2
893,peepshow,2
894,hazelnut,2
895,Social & Economic Life,2
896,single eyeglass - monocle,2
897,single eyeglass,2
898,Reconstructing soldiers,2
899,high frequency apparatus,2
900,craniotomy,2
901,court plaster,2
902,headache,2
903,sign,2
904,head - representation,2
905,sight testing apparatus,2
906,skeleton,2
907,printer,2
908,perimeter,2
909,penance,2
910,crucifix,2
911,counter-irritant,2
912,"The fault of others: exiles, scapegoats and the human face of disease",2
913,votive torso,1
914,quinine,1
915,watercolor,1
916,profound hypothermia unit,1
917,vein,1
918,x-ray machine,1
919,prognosticator,1
920,public notice,1
921,quartz crystal,1
922,pulmonary tuberculosis,1
923,venereal disease,1
924,vulcanisation,1
925,wet collodion,1
926,prosthetics (functional aids),1
927,whetstone,1
928,premature birth,1
929,vivisection,1
930,printing block,1
931,whip,1
932,vinaigrette,1
933,punch - marking tool,1
934,wood - plant material,1
935,woodcut - print,1
936,vibrating stool,1
937,psychiatric hospital,1
938,weapon,1
939,press - mechanical,1
940,pricking instrument,1
941,postcard,1
942,walking stick,1
943,votive ovary,1
944,psychological test,1
945,post mortem,1
946,pustule,1
947,whooping cough,1
948,pump - machinery,1
949,whistle,1
950,votive tooth,1
951,ventricular-assist device,1
952,wristlet,1
953,vomit bowl,1
954,saline solution,1
955,varicose veins,1
956,sign - promotional or advertising artefact,1
957,skull cap,1
958,skull - representation,1
959,tablet,1
960,skin grafting scissors,1
961,tar,1
962,tattoo instrument,1
963,skiascope,1
964,skewer,1
965,telecommunications,1
966,teleprinter,1
967,telescope,1
968,sketchbooks,1
969,sketch,1
970,telescope - Newtonian,1
971,sight developing apparatus,1
972,ticket,1
973,shrapnel,1
974,shovel,1
975,template - shaping tool,1
976,terminal illness,1
977,shield boss,1
978,tessera - mosaic component,1
979,tetanus,1
980,therapeutic device,1
981,sheaths,1
982,thermometer,1
983,thimble,1
984,shaving bowl,1
985,three-colour carbro print,1
986,thumb,1
987,sword,1
988,suturing machine,1
989,surgical shears,1
990,skyphos,1
991,sprinkler flask,1
992,spirit sticks,1
993,spirit lamp,1
994,stamp,1
995,spine,1
996,steatopygia,1
997,speculum,1
998,stele,1
999,stencil cutter,1
1000,specimen jar,1
1001,stencil support mesh,1
1002,stereotype,1
1003,stipple engraving,1
1004,poison cup,1
1005,stomach,1
1006,stomach pump,1
1007,storage jar,1
1008,snuff box,1
1009,storage vase,1
1010,strainer - culinary tool,1
1011,snow goggles,1
1012,snow blindness,1
1013,snake vertebrae,1
1014,smoking,1
1015,stretcher carrier,1
1016,strychnine,1
1017,surgical bobbin,1
1018,slit lamp,1
1019,surgical dressing,1
1020,tic douloureux,1
1021,tie pin,1
1022,rachet,1
1023,reliquary,1
1024,ringworm,1
1025,ring handle,1
1026,trial lens frame,1
1027,trial lenses,1
1028,ribbon,1
1029,rhinoplasty,1
1030,tube tranchant,1
1031,rheumatic fever,1
1032,tusk,1
1033,respiratory disease,1
1034,respirator,1
1035,type,1
1036,type composing stick,1
1037,type gauge,1
1038,ultrasound,1
1039,tin,1
1040,rehabilitative therapy,1
1041,refrigeration,1
1042,refractor head,1
1043,refractometry,1
1044,uraeus,1
1045,reflexology,1
1046,urethral irrigator,1
1047,urinary infection,1
1048,rectum,1
1049,uterine elevator,1
1050,record - document,1
1051,uterine syringe,1
1052,valve,1
1053,valvulotome,1
1054,rod - object genre,1
1055,rosary,1
1056,trench foot,1
1057,sacrament dispenser,1
1058,shaft - tool component,1
1059,tireford,1
1060,tobacco pouch,1
1061,seton clamp,1
1062,tonsil knife,1
1063,selenium,1
1064,sedative,1
1065,scrotum,1
1066,tooth cavity,1
1067,scrofula,1
1068,sciatica,1
1069,toothbrush set,1
1070,toothpaste,1
1071,toothpick case,1
1072,scarab - sculpture,1
1073,scapular,1
1074,touchstone,1
1075,tourniquets,1
1076,toy - recreational artefact,1
1077,scale - rule,1
1078,saws,1
1079,sarcophagus,1
1080,sanitary reform,1
1081,tracheotomy,1
1082,sandglass,1
1083,tracheotomy set,1
1084,traction table,1
1085,salt print,1
1086,transistor,1
1087,16 mm film,1
1088,impotence,1
1089,poison,1
1090,choler,1
1091,catalogue,1
1092,catgut,1
1093,ceramic tile,1
1094,ceremonial knife,1
1095,cervix,1
1096,chalice - cup,1
1097,chart - graphic document,1
1098,chilblains,1
1099,childcare,1
1100,chimera,1
1101,chisels,1
1102,chopping-board,1
1103,case,1
1104,chopsticks,1
1105,cigarette cards,1
1106,cippus,1
1107,clasp - fastener,1
1108,clip - fastener,1
1109,clitoridectomy,1
1110,cloak,1
1111,cloth,1
1112,clothes-rack,1
1113,club foot,1
1114,cocaine,1
1115,cat,1
1116,carving tool,1
1117,brick - clay product,1
1118,calculus stone extractor,1
1119,bronchoscope,1
1120,broom - maintenance tool,1
1121,brushes,1
1122,buckle - strap accessory,1
1123,bulb - plant,1
1124,bulldog clip,1
1125,bullet,1
1126,cabinet,1
1127,cable,1
1128,cables,1
1129,calculus - concretion,1
1130,camera,1
1131,carving,1
1132,camwood - plant material,1
1133,cancer,1
1134,caparison,1
1135,capital punishment,1
